timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1710103567950,206,Signup,200,OK,Load Test 1-1,text,true,,386,378,3,3,http://20.76.217.223/users,200,0,40
1710103567982,178,Signup,200,OK,Load Test 1-2,text,true,,386,378,3,3,http://20.76.217.223/users,178,0,22
1710103568083,186,Signup,200,OK,Load Test 1-3,text,true,,386,378,4,4,http://20.76.217.223/users,186,0,21
1710103568161,145,Login,200,OK,Load Test 1-2,text,true,,457,235,5,5,http://20.76.217.223/login,145,0,28
1710103568159,147,Login,200,OK,Load Test 1-1,text,true,,457,235,5,5,http://20.76.217.223/login,147,0,31
1710103568183,170,Signup,200,OK,Load Test 1-4,text,true,,386,378,5,5,http://20.76.217.223/users,170,0,21
1710103568271,150,Login,200,OK,Load Test 1-3,text,true,,457,235,6,6,http://20.76.217.223/login,149,0,28
1710103568281,200,Signup,200,OK,Load Test 1-5,text,true,,386,378,6,6,http://20.76.217.223/users,199,0,25
1710103568307,174,Signup,200,OK,Load Test 1-1,text,true,,386,378,6,6,http://20.76.217.223/users,173,0,30
1710103568308,179,Signup,200,OK,Load Test 1-2,text,true,,386,378,7,7,http://20.76.217.223/users,179,0,29
1710103568354,158,Login,200,OK,Load Test 1-4,text,true,,457,235,7,7,http://20.76.217.223/login,158,0,26
1710103568382,181,Signup,200,OK,Load Test 1-6,text,true,,386,378,7,7,http://20.76.217.223/users,180,0,30
1710103568421,170,Signup,200,OK,Load Test 1-3,text,true,,386,378,8,8,http://20.76.217.223/users,170,0,19
1710103568482,164,Login,200,OK,Load Test 1-5,text,true,,457,235,8,8,http://20.76.217.223/login,163,0,22
1710103568482,164,Login,200,OK,Load Test 1-1,text,true,,457,235,8,8,http://20.76.217.223/login,164,0,23
1710103568487,159,Login,200,OK,Load Test 1-2,text,true,,457,235,8,8,http://20.76.217.223/login,158,0,24
1710103568513,176,Signup,200,OK,Load Test 1-4,text,true,,389,381,9,9,http://20.76.217.223/users,176,0,31
1710103568483,206,Signup,200,OK,Load Test 1-7,text,true,,389,381,9,9,http://20.76.217.223/users,206,0,21
